stem,n_coco,n_yolo,max_coord_diff,status
0019_1529_5,16,16,9.62963e-07,OK
0019_1530_5,17,17,1e-06,OK
0019_1531_5,18,18,1e-06,OK
0019_1532_5,18,18,9.62963e-07,OK
0019_1533_5,19,19,9.79167e-07,OK
0019_1534_5,19,19,1e-06,OK
0019_1535_5,18,18,1e-06,OK
0019_1536_5,17,17,1e-06,OK
0019_1537_5,17,17,1e-06,OK
0019_1538_5,15,15,1e-06,OK
0019_1539_5,15,15,1e-06,OK
0019_1540_5,14,14,1e-06,OK
0019_1541_5,12,12,1e-06,OK
0019_1542_5,14,14,9.62963e-07,OK
0019_1543_5,15,15,9.58333e-07,OK
0019_1544_5,16,16,1e-06,OK
0019_1545_5,18,18,1e-06,OK
0019_1546_5,15,15,9.62963e-07,OK
0019_1547_5,15,15,9.58333e-07,OK
0019_1548_5,15,15,9.58333e-07,OK
0019_1549_5,15,15,9.79167e-07,OK
0019_1550_5,14,14,9.62963e-07,OK
0019_1551_5,13,13,9.79167e-07,OK
0019_1552_5,16,16,9.16667e-07,OK
0019_1553_5,16,16,1e-06,OK
0019_1554_5,18,18,1e-06,OK
0019_1555_5,20,20,1e-06,OK
0019_1556_5,19,19,1e-06,OK
0019_1557_5,20,20,1e-06,OK
0019_1558_5,20,20,1e-06,OK
0019_1559_5,19,19,1e-06,OK
0019_1560_5,21,21,1e-06,OK
0019_1561_5,19,19,1e-06,OK
0019_1562_5,19,19,1e-06,OK
0019_1563_5,20,20,1e-06,OK
0019_1564_5,21,21,1e-06,OK
0019_1565_5,21,21,9.79167e-07,OK
0019_1566_5,20,20,1e-06,OK
0019_1567_5,19,19,1e-06,OK
0019_1568_5,20,20,1e-06,OK
0019_1569_5,15,15,9.62963e-07,OK
0019_1570_5,15,15,9.62963e-07,OK
0019_1571_5,16,16,9.58333e-07,OK
0019_1572_5,18,18,1e-06,OK
0019_1573_5,16,16,9.79167e-07,OK
0019_1574_5,19,19,1e-06,OK
0019_1575_5,17,17,1e-06,OK
0019_1576_5,19,19,1e-06,OK
0019_1577_5,18,18,1e-06,OK
0019_1578_5,19,19,1e-06,OK
0019_1579_5,20,20,1e-06,OK
0019_1580_5,19,19,1e-06,OK
0019_1581_5,19,19,1e-06,OK
0019_1582_5,18,18,1e-06,OK
0019_1583_5,18,18,9.62963e-07,OK
0019_1584_5,18,18,9.62963e-07,OK
